Yana, 245367301, /greeting
 Yana, 245367301, /time
 Yana, 245367301, /help
 Yana, 245367301, /greeting
 Yana, 245367301, /time
 Yana, 245367301, /help
 Yana, 245367301, /greeting
 Yana, 245367301, /greeting
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /help
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 Yana, 245367301, /start
 
